CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdParametreEnv;LbLongParametre;RsParEnvOpPrelBio;CdUniteMesure;SymUniteMesure;CdRqParEnvPrelBio;MnemoRqParEnvPrelBio;CdMethodeParEnvPrelBio;NomMethodeParEnvPrelBio;RefOperationPrelBio;CdStatutParEnvPrelBio;MnStatutParEnvPrelBio;CdQualParEnvPrelBio;LbQualParEnvPrelBio;DateParEnvPrelBio;CdProducteur;NomProducteur
05104000;La Garonne en amont du Lot;500;4;Poissons;2018-09-21;1303;Conductivité à 25°C;332.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe38908eta2_SurfEchMc1250.0_SBVDKmc38070.0_DSrcKm365.4_LarMEauM130.0_PntCEPM0.29_ProfMStaM1.42_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;0;Qualification non definissable;2018-09-21;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05104000;La Garonne en amont du Lot;500;4;Poissons;2019-09-23;1301;Température de l'Eau;19.8;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82655eta2_SurfEchMc1250.00_SBVDKmc38070.00_DSrcKm365.40_LarMEauM116.00_PntCEPM0.29_ProfMStaM1.25_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;1;Correcte;2019-09-23;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05104000;La Garonne en amont du Lot;500;4;Poissons;2019-09-23;1303;Conductivité à 25°C;310.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82655eta2_SurfEchMc1250.00_SBVDKmc38070.00_DSrcKm365.40_LarMEauM116.00_PntCEPM0.29_ProfMStaM1.25_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;0;Qualification non definissable;2019-09-23;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05111500;La Garonne à Port Ste-Marie;500;4;Poissons;2015-10-27;1301;Température de l'Eau;14.8;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25294eta2_SurfEchMc1250.0_SBVDKmc34803.0_DSrcKm355.2_LarMEauM126.5_PntCEPM0.34_ProfMStaM1.83_AltM32_TAir1C6.8_TAir7C22.0;1;Donnée brute;1;Correcte;2015-10-27;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05111500;La Garonne à Port Ste-Marie;500;4;Poissons;2015-10-27;1303;Conductivité à 25°C;310.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25294eta2_SurfEchMc1250.0_SBVDKmc34803.0_DSrcKm355.2_LarMEauM126.5_PntCEPM0.34_ProfMStaM1.83_AltM32_TAir1C6.8_TAir7C22.0;1;Donnée brute;0;Qualification non definissable;2015-10-27;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05111500;La Garonne à Port Ste-Marie;500;4;Poissons;2017-10-17;1301;Température de l'Eau;19.5;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25293eta2_SurfEchMc1250.0_SBVDKmc34803.0_DSrcKm355.2_LarMEauM123.0_PntCEPM0.34_ProfMStaM1.89_AltM32_TAir1C6.8_TAir7C22.0;1;Donnée brute;1;Correcte;2017-10-17;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05111500;La Garonne à Port Ste-Marie;500;4;Poissons;2017-10-17;1303;Conductivité à 25°C;304.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25293eta2_SurfEchMc1250.0_SBVDKmc34803.0_DSrcKm355.2_LarMEauM123.0_PntCEPM0.34_ProfMStaM1.89_AltM32_TAir1C6.8_TAir7C22.0;1;Donnée brute;0;Qualification non definissable;2017-10-17;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05111500;La Garonne à Port Ste-Marie;500;4;Poissons;2019-09-18;1301;Température de l'Eau;22.6;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82363eta2_SurfEchMc1250.0_SBVDKmc34803.0_DSrcKm355.2_LarMEauM104.0_PntCEPM0.34_ProfMStaM1.13_AltM32_TAir1C6.8_TAir7C22.0;1;Donnée brute;1;Correcte;2019-09-18;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05111500;La Garonne à Port Ste-Marie;500;4;Poissons;2019-09-18;1303;Conductivité à 25°C;279.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82363eta2_SurfEchMc1250.0_SBVDKmc34803.0_DSrcKm355.2_LarMEauM104.0_PntCEPM0.34_ProfMStaM1.13_AltM32_TAir1C6.8_TAir7C22.0;1;Donnée brute;0;Qualification non definissable;2019-09-18;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2016-10-20;1301;Température de l'Eau;15.6;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31148eta2_SurfEchMc1250.0_SBVDKmc34401.0_DSrcKm332.4_LarMEauM148.0_PntCEPM0.55_ProfMStaM1.95_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;1;Correcte;2016-10-20;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2016-10-20;1303;Conductivité à 25°C;314.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31148eta2_SurfEchMc1250.0_SBVDKmc34401.0_DSrcKm332.4_LarMEauM148.0_PntCEPM0.55_ProfMStaM1.95_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;0;Qualification non definissable;2016-10-20;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2017-09-22;1301;Température de l'Eau;18.8;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31172eta2_SurfEchMc1250.0_SBVDKmc34401.0_DSrcKm332.4_LarMEauM153.0_PntCEPM0.55_ProfMStaM1.42_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;1;Correcte;2017-09-22;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2017-09-22;1303;Conductivité à 25°C;301.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31172eta2_SurfEchMc1250.0_SBVDKmc34401.0_DSrcKm332.4_LarMEauM153.0_PntCEPM0.55_ProfMStaM1.42_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;0;Qualification non definissable;2017-09-22;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2018-09-24;1301;Température de l'Eau;21.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe39196eta2_SurfEchMc1250.00_SBVDKmc34401.00_DSrcKm332.40_LarMEauM143.00_PntCEPM0.55_ProfMStaM1.67_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;1;Correcte;2018-09-24;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2018-09-24;1303;Conductivité à 25°C;323.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe39196eta2_SurfEchMc1250.00_SBVDKmc34401.00_DSrcKm332.40_LarMEauM143.00_PntCEPM0.55_ProfMStaM1.67_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;0;Qualification non definissable;2018-09-24;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2019-09-24;1301;Température de l'Eau;19.8;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82660eta2_SurfEchMc1250.00_SBVDKmc34401.00_DSrcKm332.40_LarMEauM154.00_PntCEPM0.55_ProfMStaM1.57_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;1;Correcte;2019-09-24;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05112195;La Garonne à Agen (station RHP 05471013);500;4;Poissons;2019-09-24;1303;Conductivité à 25°C;380.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82660eta2_SurfEchMc1250.00_SBVDKmc34401.00_DSrcKm332.40_LarMEauM154.00_PntCEPM0.55_ProfMStaM1.57_AltM42_TAir1C6.4_TAir7C21.9;1;Donnée brute;0;Qualification non definissable;2019-09-24;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2015-10-05;1301;Température de l'Eau;18.6;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe24188eta1_2015-10-05_10:00:00_05117000;1;Donnée brute;1;Correcte;2015-10-05;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2015-10-05;1303;Conductivité à 25°C;255.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe24188eta1_2015-10-05_10:00:00_05117000;1;Donnée brute;0;Qualification non definissable;2015-10-05;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2016-10-03;1301;Température de l'Eau;18.4;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe24187eta1_2016-10-03_09:45:00_05117000;1;Donnée brute;1;Correcte;2016-10-03;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2016-10-03;1303;Conductivité à 25°C;300.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe24187eta1_2016-10-03_09:45:00_05117000;1;Donnée brute;0;Qualification non definissable;2016-10-03;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2017-10-12;1301;Température de l'Eau;17.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe24186eta1_2017-10-12_10:00:00_05117000;1;Donnée brute;1;Correcte;2017-10-12;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2017-10-12;1303;Conductivité à 25°C;290.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe24186eta1_2017-10-12_10:00:00_05117000;1;Donnée brute;0;Qualification non definissable;2017-10-12;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2018-10-02;1301;Température de l'Eau;16.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe39654eta2_SurfEchMc1250.00_SBVDKmc32264.00_DSrcKm310.70_LarMEauM126.00_PntCEPM0.61_ProfMStaM1.82_AltM49_TAir1C6.4_TAir7C22.1;1;Donnée brute;1;Correcte;2018-10-02;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2018-10-02;1303;Conductivité à 25°C;330.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe39654eta2_SurfEchMc1250.00_SBVDKmc32264.00_DSrcKm310.70_LarMEauM126.00_PntCEPM0.61_ProfMStaM1.82_AltM49_TAir1C6.4_TAir7C22.1;1;Donnée brute;0;Qualification non definissable;2018-10-02;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2019-10-01;1301;Température de l'Eau;23.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82810eta3_SurfEchMc1250.00_SBVDKmc32264.00_DSrcKm310.70_LarMEauM120.00_PntCEPM0.61_ProfMStaM1.82_AltM49_TAir1C6.4_TAir7C22.1;1;Donnée brute;1;Correcte;2019-10-01;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05117000;La Garonne à Lamagistère;500;4;Poissons;2019-10-01;1303;Conductivité à 25°C;310.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82810eta3_SurfEchMc1250.00_SBVDKmc32264.00_DSrcKm310.70_LarMEauM120.00_PntCEPM0.61_ProfMStaM1.82_AltM49_TAir1C6.4_TAir7C22.1;1;Donnée brute;0;Qualification non definissable;2019-10-01;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05152000;La Garonne à St-Aignan;500;4;Poissons;2016-10-04;1301;Température de l'Eau;18.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25216eta1_2016-10-04_09:15:00_05152000;1;Donnée brute;1;Correcte;2016-10-04;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05152000;La Garonne à St-Aignan;500;4;Poissons;2016-10-04;1303;Conductivité à 25°C;242.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25216eta1_2016-10-04_09:15:00_05152000;1;Donnée brute;0;Qualification non definissable;2016-10-04;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05152000;La Garonne à St-Aignan;500;4;Poissons;2018-10-24;1301;Température de l'Eau;14.4;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe38827eta2_SurfEchMc1250.00_SBVDKmc14493.00_DSrcKm280.75_LarMEauM102.40_PntCEPM0.50_ProfMStaM1.26_AltM68_TAir1C6.4_TAir7C22.3;1;Donnée brute;1;Correcte;2018-10-24;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
05152000;La Garonne à St-Aignan;500;4;Poissons;2018-10-24;1303;Conductivité à 25°C;303.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe38827eta2_SurfEchMc1250.00_SBVDKmc14493.00_DSrcKm280.75_LarMEauM102.40_PntCEPM0.50_ProfMStaM1.26_AltM68_TAir1C6.4_TAir7C22.3;1;Donnée brute;0;Qualification non definissable;2018-10-24;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB)
